"ID","proxy_site","description","address","city","start_date","end_date","lat","lon","NO2.b0","NO2.b1","NO2.b2","NO2.b0_kl","NO2.b1_kl","NO2.b2_kl"
"AQY BB-607","San Pablo - Rumrill","Pt. San Pablo Harbor","1900 Stenmark Drive","Pt. San Pablo","2019-12-05","9999-12-31",37.962284,-122.418807,0,1,1,0,1,1
"AQY BB-609","Vallejo","Residence","1910 Ralston Av","Richmond","2019-12-18","9999-12-31",37.93897,-122.316503,0,1,1,0,1,1
"AQY BB-610","Vallejo","Residence","3200 Moran Avenue","Richmond","2020-03-13","9999-12-31",38.951854,-122.336586,0,1,1,0,1,1
"AQY BB-611","Vallejo","Residence","521 2nd St","Richmond","2019-12-05","9999-12-31",37.938903,-122.367769,0,1,1,0,1,1
"AQY BB-634","San Leandro","Business","600 Hoffman Blvd","Richmond","2019-12-06","9999-12-31",37.923745,-122.362565,0,1,1,0,1,1
"AQY BB-635","San Pablo - Rumrill","Residence","1761 14th Street ","San Pablo ","2019-12-09","9999-12-31",37.958616,-122.356061,0,1,1,0,1,1
"AQY BB-636","San Leandro","Residence","322 W Richmond Ave","Pt. Richmond","2019-12-05","9999-12-31",37.927338,-122.386987,0,1,1,0,1,1
"AQY BB-637","San Pablo - Rumrill","Residence ","630 31st Street","Richmond","2019-12-09","9999-12-31",37.939946,-122.3381,0,1,1,0,1,1
"AQY BB-638","San Pablo - Rumrill","Residence","626 Alamo Ave","Richmond","2019-12-21","9999-12-31",37.953197,-122.362551,0,1,1,0,1,1
"AQY BB-639","San Leandro","Residence","222 Water St","Pt. Richmond","2019-12-19","9999-12-31",37.925888,-122.388734,0,1,1,0,1,1
"AQY BB-640","San Pablo - Rumrill","Residence","1732 6th St","North Richmond","2019-12-05","9999-12-31",37.958527,-122.362237,0,1,1,0,1,1
"AQY BB-641","Vallejo","Residence","116 Bayside Court","Richmond","2019-12-06","9999-12-31",37.913046,-122.340619,0,1,1,0,1,1
"AQY BB-643","San Pablo - Rumrill","Residence","3327 11th Street","San Pablo","2019-12-06","9999-12-31",37.978882,-122.350804,0,1,1,0,1,1
"AQY BB-644","Vallejo","Residence","2927 Maricopa Ave","Richmond","2019-12-06","9999-12-31",37.950787,-122.33812,0,1,1,0,1,1
"AQY BB-645","Berkeley Aquatic Park","Residence","775 Lassen st","Richmond","2019-12-09","9999-12-31",37.943383,-122.326871,0,1,1,0,1,1
"AQY BB-646","Berkeley Aquatic Park","Residence","127 Schooner Court","Richmond","2019-12-21","9999-12-31",37.91678,-122.350017,0,1,1,0,1,1
"AQY BB-647","Berkeley Aquatic Park","Residence","5222 Esmond Ave","Richmond","2019-12-16","9999-12-31",37.946382,-122.326398,0,1,1,0,1,1
"AQY BB-648","San Leandro","Residence","6205 Panama Avenue","Richmond Annex","2019-12-05","9999-12-31",37.907775,-122.307056,0,1,1,0,1,1
"AQY BB-649","San Ramon","Residence","6526 Kensington Ave","Richmond","2019-12-06","9999-12-31",37.940881,-122.309832,0,1,1,0,1,1
"AQY BB-651","San Pablo - Rumrill","Residence ","444 30th St","Richmond","2019-12-09","9999-12-31",37.936658,-122.339732,0,1,1,0,1,1
"AQY BB-652","San Pablo - Rumrill","Residence","2111 Barrett Ave","Richmond","2019-12-16","9999-12-31",37.938642,-122.349205,0,1,1,0,1,1
"AQY BB-788","San Pablo - Rumrill","Residence","2334 Andrade Ave","Richmond","2020-03-05","9999-12-31",37.94755,-122.346511,0,1,1,0,1,1
"AQY BB-793","San Leandro","Residence","5626 Bayview Avenue","Richmond","2020-03-13","9999-12-31",37.915453,-122.315955,0,1,1,0,1,1
"AQY BB-794","Vallejo","Residence","968 36th St","Richmond","2020-03-19","9999-12-31",37.946713,-122.332639,0,1,1,0,1,1
"AQY BB-795","San Ramon","Residence","4613 Wildwood Court","Richmond","2020-03-06","9999-12-31",37.975904,-122.284784,0,1,1,0,1,1
"AQY BB-798","San Pablo - Rumrill","Urban Farm","323 Brookside Dr","Richmond","2020-03-12","9999-12-31",37.965249,-122.366437,0,1,1,0,1,1
"AQY BB-803","Livermore - Rincon","Residence","988 St. Andrews Dr.","El Sobrante","2020-03-19","9999-12-31",37.985959,-122.303358,0,1,1,0,1,1
"AQY BB-805","San Pablo - Rumrill","Brickyard Landing, HOA","Brickyard Landing","Richmond","2020-03-05","9999-12-31",37.912533,-122.379561,0,1,1,0,1,1
"AQY BB-809","San Leandro","Residence","5013 Barrett Ave","Richmond","2020-03-03","9999-12-31",37.935882,-122.323812,0,1,1,0,1,1
"AQY BB-808","San Pablo - Rumrill","Community college","2600 Mission Bell Dr.","San Pablo","2020-05-11","9999-12-31",37.969085,-122.335865,0,1,1,0,1,1
"AQY BB-801","San Pablo - Rumrill","Community college","2600 Mission Bell Dr.","San Pablo","2020-05-11","9999-12-31",37.971666,-122.33952,0,1,1,0,1,1
"AQY BB-806","San Pablo - Rumrill","Fire Station","1065 7th St","Richmond","2020-05-12","9999-12-31",37.948007,-122.364858,0,1,1,0,1,1
